kind,published,duration,title,video_id,url,file
video,2026-07-28,00:31:26,The $30K Invoice That Killed a 10-Year Customer Relationship,s0_IhEIyYAw,https://www.youtube.com/watch?v=s0_IhEIyYAw,videos/20260728-the-30k-invoice-that-killed-a-10-year-customer-relationship-s0_IhEIyYAw.txt
video,2026-07-28,00:27:13,The $30K Invoice That Killed a 10-Year Customer Relationship,7MRL3E9CPDo,https://www.youtube.com/watch?v=7MRL3E9CPDo,videos/20260728-the-30k-invoice-that-killed-a-10-year-customer-relationship-7MRL3E9CPDo.txt
video,2026-07-21,00:47:23,Why Your SaaS Growth Has Stalled (And It Isn't Your Funnel),sAgevIINmmU,https://www.youtube.com/watch?v=sAgevIINmmU,videos/20260721-why-your-saas-growth-has-stalled-and-it-isn-t-your-funnel-sAgevIINmmU.txt
video,2026-07-21,00:41:00,Most SaaS Companies Get Customer Research Wrong,HyI7wQm3yOA,https://www.youtube.com/watch?v=HyI7wQm3yOA,videos/20260721-most-saas-companies-get-customer-research-wrong-HyI7wQm3yOA.txt
video,2026-07-07,00:47:12,SaaS Sales: The Playbook Every Founder Needs to Scale,K3fMKZLRAc0,https://www.youtube.com/watch?v=K3fMKZLRAc0,videos/20260707-saas-sales-the-playbook-every-founder-needs-to-scale-K3fMKZLRAc0.txt
video,2026-07-07,00:42:17,SaaS Sales: The Playbook Every Founder Needs to Scale,LrRXskkpqn4,https://www.youtube.com/watch?v=LrRXskkpqn4,videos/20260707-saas-sales-the-playbook-every-founder-needs-to-scale-LrRXskkpqn4.txt
video,2026-06-23,00:53:43,The 200-Hour SaaS Build: A Real Workflow Breakdown,xw0PthH5Y-Q,https://www.youtube.com/watch?v=xw0PthH5Y-Q,videos/20260623-the-200-hour-saas-build-a-real-workflow-breakdown-xw0PthH5Y-Q.txt
video,2026-06-23,00:47:15,The 200-Hour SaaS Build: A Real Workflow Breakdown,xI0joFUs_Xo,https://www.youtube.com/watch?v=xI0joFUs_Xo,videos/20260623-the-200-hour-saas-build-a-real-workflow-breakdown-xI0joFUs_Xo.txt
video,2026-06-10,00:50:43,Claude Code Did What? Real Stories From Daily Use,LTLu8hgEKnI,https://www.youtube.com/watch?v=LTLu8hgEKnI,videos/20260610-claude-code-did-what-real-stories-from-daily-use-LTLu8hgEKnI.txt
video,2026-06-09,00:45:55,AI-Assisted Development in 2026,3fbU7YI7sok,https://www.youtube.com/watch?v=3fbU7YI7sok,videos/20260609-ai-assisted-development-in-2026-3fbU7YI7sok.txt
video,2026-05-26,00:38:19,Healthcare AI Is Failing And the Fix Isn't More Data,q8Ahxlz_Ue4,https://www.youtube.com/watch?v=q8Ahxlz_Ue4,videos/20260526-healthcare-ai-is-failing-and-the-fix-isn-t-more-data-q8Ahxlz_Ue4.txt
